k,n,t,width,height,time
64,50,2,320,240,0.557429
64,50,2,320,240,0.569177
128,50,2,320,240,1.014140
128,50,2,320,240,1.021334
256,50,2,320,240,1.921980
256,50,2,320,240,1.896965
16,50,4,320,240,0.094719
16,50,4,320,240,0.093965
32,50,4,320,240,0.177763
32,50,4,320,240,0.174585
64,50,4,320,240,0.308857
64,50,4,320,240,0.302266
128,50,4,320,240,0.549338
128,50,4,320,240,0.544105
256,50,4,320,240,1.023262
256,50,4,320,240,1.020009
16,50,8,320,240,0.051628
16,50,8,320,240,0.050403
32,50,8,320,240,0.094207
32,50,8,320,240,0.093100
64,50,8,320,240,0.161801
64,50,8,320,240,0.162089
128,50,8,320,240,0.291980
128,50,8,320,240,0.294420
256,50,8,320,240,0.531995
256,50,8,320,240,0.536919
16,50,16,320,240,0.034795
16,50,16,320,240,0.038428
32,50,16,320,240,0.073205
32,50,16,320,240,0.070100
64,50,16,320,240,0.092491
64,50,16,320,240,0.088635
128,50,16,320,240,0.154962
128,50,16,320,240,0.151383
256,50,16,320,240,0.282724
256,50,16,320,240,0.277796
16,50,32,320,240,0.094223
16,50,32,320,240,0.164203
32,50,32,320,240,0.145538
32,50,32,320,240,0.228568
64,50,32,320,240,0.214736
64,50,32,320,240,0.135517
128,50,32,320,240,0.365772
128,50,32,320,240,0.187117
256,50,32,320,240,0.333450
256,50,32,320,240,0.389042
16,50,64,320,240,0.314789
16,50,64,320,240,0.212119
32,50,64,320,240,0.299226
32,50,64,320,240,0.257240
64,50,64,320,240,0.289069
64,50,64,320,240,0.398378
128,50,64,320,240,0.429987
128,50,64,320,240,0.266416
256,50,64,320,240,0.444880
256,50,64,320,240,0.209632
